Area,BuisnessUnit,Country
Americas,NAO,Canada
Americas,NAO,Guatemala
Americas,NAO,Mexico
Americas,NAO,Puerto Rico
Americas,NAO,USA
Americas,SAM,Argentina
Americas,SAM,Brazil
Americas,SAM,Chile
Americas,SAM,Colombia
Americas,SAM,Peru
Americas,SAM,Uruguay
Americas,SAM,Venezuela
Central Europe,GER,Germany
Central Europe,CEE,Poland
Central Europe,CEE,Russian Federation
Central Europe,CEE,Austria
Central Europe,CEE,Bulgaria
Central Europe,CEE,Switzerland
Central Europe,CEE,Cyprus
Central Europe,CEE,Czech Republic
Central Europe,CEE,Greece
Central Europe,CEE,Croatia
Central Europe,CEE,Hungary
Central Europe,CEE,Israel
Central Europe,CEE,Kasakhstan
Central Europe,CEE,Romania
Central Europe,CEE,Serbia
Central Europe,CEE,Slovakia
Central Europe,CEE,Ukraine
Growing Markets,MEK,United Arab Emirates
Growing Markets,MEK,Egypt
Growing Markets,MEK,Iran
Growing Markets,MEK,Lebanon
Growing Markets,MEK,Qatar
Growing Markets,MEK,Saudi Arabia
Growing Markets,MEK,Turkey
Growing Markets,AFR,Burkina Faso
Growing Markets,AFR,Benin
Growing Markets,AFR,Cote d'Ivoire
Growing Markets,AFR,Algeria
Growing Markets,AFR,Gabon
Growing Markets,AFR,Ivory Coast
Growing Markets,AFR,Morocco
Growing Markets,AFR,Madagascar
Growing Markets,AFR,Mali
Growing Markets,AFR,Mauritius
Growing Markets,AFR,Senegal
Growing Markets,AFR,Tunisia
Growing Markets,AFR,South Africa
Growing Markets,IND,India
Northern Europe,APAC,Australia
Northern Europe,APAC,People Rep China
Northern Europe,APAC,Hong Kong
Northern Europe,APAC,Indonesia
Northern Europe,APAC,Japan
Northern Europe,APAC,Korea
Northern Europe,APAC,Malaysia
Northern Europe,APAC,New Zealand
Northern Europe,APAC,Philippines
Northern Europe,APAC,Singapore
Northern Europe,APAC,Thailand
Northern Europe,APAC,Taiwan
Northern Europe,BTN,Belgium
Northern Europe,BTN,Denmark
Northern Europe,BTN,Estonia
Northern Europe,BTN,Finland
Northern Europe,BTN,Lithuania
Northern Europe,BTN,Luxembourg
Northern Europe,BTN,Netherlands
Northern Europe,BTN,Norway
Northern Europe,BTN,Sweden
Northern Europe,UK&I,United Kingdom
Northern Europe,UK&I,Ireland
Southern Europe,ITA,Italy
Southern Europe,IBE,Andorra
Southern Europe,IBE,Spain
Southern Europe,IBE,Portugal
Southern Europe,FRA,France
Southern Europe,FRA,Morocco
Southern Europe,FRA,New Caledonia
Southern Europe,FRA,French Polynesia
